BACKEND — ASP.NET Core + PostGIS · WP2 (BE1 – Mỹ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mã,Nhóm,Công việc,Kết quả cần đạt,Người phụ trách,Tuần,Bắt đầu,Kết thúc,Ưu tiên,Trạng thái,% hoàn thành,Phụ thuộc,Nguồn gốc,Ghi chú,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21
BE-00,Nền tảng,Hiện thực đúng API Contract v1.0 — quy ước toàn cục,"JSON snake_case (JsonNamingPolicy.SnakeCaseLower), API luôn trả EPSG:4326, TIMESTAMPTZ với DateTimeKind.Utc, enum trả chuỗi thường",BE1 – Mỹ,W1,07/09/2026,13/09/2026,Cao,Chưa bắt đầu,0%,,MỚI,"MỚI v2.0 — contract đã CHỐT ngày 23/08/2026. Đây là hợp đồng với WP5/WP6: đổi field hay enum phải mở issue, không đổi ngầm.",,,,,,,,,,,,,,,,,,,,,,
BE-01,Nền tảng,Solution .NET modular monolith,"Solution chạy được, chia project theo module",BE1 – Mỹ,W1,07/09/2026,13/09/2026,Cao,Chưa bắt đầu,0%,,GIỮ,Chỉ đổi tên module sang domain LuxMap,,,,,,,,,,,,,,,,,,,,,,
BE-02,Nền tảng,Docker Compose: PostgreSQL + PostGIS + Redis,docker compose up lên đủ dịch vụ,BE1 – Mỹ,W1,07/09/2026,13/09/2026,Cao,Chưa bắt đầu,0%,,SỬA,"BỎ pgvector. Giữ PostGIS, Redis",,,,,,,,,,,,,,,,,,,,,,
BE-03,Nền tảng,EF Core + Npgsql + NetTopologySuite,"Map được Point VÀ LineString, sinh migration thành công",BE1 – Mỹ,W1,07/09/2026,13/09/2026,Cao,Chưa bắt đầu,0%,BE-02,SỬA,"Mở rộng: LineString cho tuyến đường và feeder. Tên bảng/cột snake_case toàn chữ thường, không quote.",,,,,,,,,,,,,,,,,,,,,,
BE-04,Nền tảng,"Middleware lỗi, response chuẩn, phân trang, versioning /api/v1","Mọi API cùng định dạng, có correlation id; lỗi theo hình dạng {error:{code,message,details}}",BE1 – Mỹ,W1,07/09/2026,13/09/2026,Cao,Chưa bắt đầu,0%,BE-00,SỬA,"Định dạng lỗi và phân trang {page,page_size,total,items[]} theo API Contract v1.0",,,,,,,,,,,,,,,,,,,,,,
BE-05,Nền tảng,Serilog + Swagger + security scheme JWT,"Swagger có nút Authorize, log có cấu trúc; OpenAPI spec công bố cho WP6 sinh DTO",BE1 – Mỹ,W1,07/09/2026,13/09/2026,Cao,Chưa bắt đầu,0%,BE-01,GIỮ,WP6 (Android) phụ thuộc trực tiếp vào spec này ở FM-04,,,,,,,,,,,,,,,,,,,,,,
BE-06,Identity,"Entity AdministrativeUnit, AppUser, RefreshToken","Bảng tạo được, seed chạy được",BE1 – Mỹ,W1,07/09/2026,13/09/2026,Cao,Chưa bắt đầu,0%,BE-03,GIỮ,,,,,,,,,,,,,,,,,,,,,,,
BE-07,Identity,API đăng ký / đăng nhập / refresh token,"Lấy được JWT, refresh hoạt động",BE1 – Mỹ,W1,07/09/2026,13/09/2026,Cao,Chưa bắt đầu,0%,BE-06,GIỮ,FM-05 cần endpoint thật trước khi test tích hợp,,,,,,,,,,,,,,,,,,,,,,
BE-08,Identity,Phân quyền theo 4 vai trò + theo địa bàn,Kỹ sư bảo trì chỉ thấy tài sản thuộc địa bàn mình,BE1 – Mỹ,W2,14/09/2026,20/09/2026,Cao,Chưa bắt đầu,0%,BE-07,SỬA,"4 vai trò: Cơ quan quản lý, Kỹ sư bảo trì, Tổ khảo sát/sửa chữa, Quản trị. KHÔNG còn vai trò Người dân",,,,,,,,,,,,,,,,,,,,,,
BE-09,GIS Tài sản,"Entity Pole, Fixture, RoadSegment, Feeder + migration + index GIST","Lưu được cột geometry(Point,4326) và tuyến geometry(LineString,4326), EXPLAIN xác nhận dùng GIST index",BE1 – Mỹ,W2–W3,14/09/2026,27/09/2026,Cao,Chưa bắt đầu,0%,BE-03,SỬA,Trường và enum theo API Contract v1.0 mục 1. Pole và Fixture TÁCH RIÊNG.,,,,,,,,,,,,,,,,,,,,,,
