pole_external_ref,segment_external_ref,lng,lat,feeder_external_ref
POLE-0001,SEG-001,106.49,10.969973,
POLE-0002,SEG-001,106.49032,10.969973,
POLE-0003,SEG-001,106.490641,10.969973,
POLE-0004,SEG-001,106.490961,10.969973,
POLE-0005,SEG-001,106.491281,10.969973,
POLE-0006,SEG-001,106.491601,10.969973,
POLE-0007,SEG-001,106.491922,10.969973,
POLE-0008,SEG-001,106.492242,10.969973,
POLE-0009,SEG-001,106.492562,10.969973,
POLE-0010,SEG-001,106.492882,10.969973,
POLE-0011,SEG-001,106.493203,10.969973,
POLE-0012,SEG-001,106.493523,10.969973,
POLE-0013,SEG-001,106.493843,10.969973,
POLE-0014,SEG-001,106.494163,10.969973,
POLE-0015,SEG-001,106.494484,10.969973,
POLE-0016,SEG-001,106.494804,10.969973,
POLE-0017,SEG-001,106.495124,10.969973,
POLE-0018,SEG-001,106.495444,10.969973,
POLE-0019,SEG-001,106.495765,10.969973,
POLE-0020,SEG-001,106.496085,10.969973,
POLE-0021,SEG-001,106.496405,10.969973,
POLE-0022,SEG-001,106.496725,10.969973,
POLE-0023,SEG-001,106.497046,10.969973,
POLE-0024,SEG-001,106.497366,10.969973,
POLE-0025,SEG-001,106.497686,10.969973,
POLE-0026,SEG-001,106.498007,10.969973,
POLE-0027,SEG-001,106.498327,10.969973,
POLE-0028,SEG-001,106.498647,10.969973,
POLE-0029,SEG-001,106.498967,10.969973,
POLE-0030,SEG-001,106.499288,10.969973,
POLE-0031,SEG-001,106.499608,10.969973,
POLE-0032,SEG-001,106.499928,10.969973,
POLE-0033,SEG-001,106.500248,10.969973,
POLE-0034,SEG-001,106.500569,10.969973,
POLE-0035,SEG-001,106.500889,10.969973,
POLE-0036,SEG-001,106.501209,10.969973,
POLE-0037,SEG-001,106.501529,10.969973,
POLE-0038,SEG-001,106.50185,10.969973,
POLE-0039,SEG-001,106.50217,10.969973,
POLE-0040,SEG-001,106.50249,10.969973,
POLE-0041,SEG-001,106.50281,10.969973,
POLE-0042,SEG-001,106.503131,10.969973,
POLE-0043,SEG-001,106.503451,10.969973,
POLE-0044,SEG-001,106.503771,10.969973,
POLE-0045,SEG-001,106.504091,10.969973,
POLE-0046,SEG-001,106.504412,10.969973,
POLE-0047,SEG-002,106.492025,10.965989,
POLE-0048,SEG-002,106.49218,10.966314,
POLE-0049,SEG-002,106.492334,10.96664,
POLE-0050,SEG-002,106.492489,10.966966,
POLE-0051,SEG-002,106.492644,10.967291,
POLE-0052,SEG-002,106.492798,10.967617,
POLE-0053,SEG-002,106.492953,10.967943,
POLE-0054,SEG-002,106.493108,10.968268,
POLE-0055,SEG-002,106.493262,10.968594,
POLE-0056,SEG-002,106.493417,10.96892,
POLE-0057,SEG-002,106.493572,10.969245,
POLE-0058,SEG-002,106.493726,10.969571,
POLE-0059,SEG-002,106.493881,10.969897,
POLE-0060,SEG-002,106.494036,10.970222,
POLE-0061,SEG-002,106.49419,10.970548,
POLE-0062,SEG-002,106.494345,10.970873,
POLE-0063,SEG-002,106.4945,10.971199,
POLE-0064,SEG-002,106.494654,10.971525,
POLE-0065,SEG-002,106.494809,10.97185,
POLE-0066,SEG-002,106.494964,10.972176,
POLE-0067,SEG-002,106.495119,10.972502,
POLE-0068,SEG-002,106.495273,10.972827,
POLE-0069,SEG-002,106.495428,10.973153,
POLE-0070,SEG-002,106.495583,10.973479,
POLE-0071,SEG-002,106.495737,10.973804,
POLE-0072,SEG-002,106.495892,10.97413,
POLE-0073,SEG-002,106.496047,10.974456,
POLE-0074,SEG-002,106.496201,10.974781,
POLE-0075,SEG-002,106.496356,10.975107,
POLE-0076,SEG-002,106.496511,10.975433,
POLE-0077,SEG-002,106.496665,10.975758,
POLE-0078,SEG-003,106.499976,10.975987,
POLE-0079,SEG-003,106.500136,10.975714,
POLE-0080,SEG-003,106.500296,10.975442,
POLE-0081,SEG-003,106.500457,10.97517,
POLE-0082,SEG-003,106.500617,10.974897,
POLE-0083,SEG-003,106.500777,10.974625,
POLE-0084,SEG-003,106.500937,10.974353,
POLE-0085,SEG-003,106.501097,10.974081,
POLE-0086,SEG-003,106.501257,10.973808,
POLE-0087,SEG-003,106.501417,10.973536,
POLE-0088,SEG-003,106.501578,10.973264,
POLE-0089,SEG-003,106.501738,10.972991,
POLE-0090,SEG-003,106.501898,10.972719,
POLE-0091,SEG-003,106.502058,10.972447,
POLE-0092,SEG-003,106.502218,10.972175,
POLE-0093,SEG-003,106.502378,10.971902,
POLE-0094,SEG-003,106.502538,10.97163,
POLE-0095,SEG-003,106.502699,10.971358,
POLE-0096,SEG-003,106.502859,10.971085,
POLE-0097,SEG-003,106.503019,10.970813,
POLE-0098,SEG-003,106.503179,10.970541,
POLE-0099,SEG-003,106.503339,10.970269,
POLE-0100,SEG-003,106.503499,10.969996,
POLE-0101,SEG-003,106.503659,10.969724,
POLE-0102,SEG-003,106.503819,10.969452,
POLE-0103,SEG-003,106.50398,10.969179,
